code	CGN tag	aantal (beetje onbegrijpelijk, staat voor aantal verschillende woord+lemma+pos combinaties)	voorbeeldwoordjes	weergave van uitleg in handleiding	opmerking
720	VG(onder,e-verg)	59	als  dan  behalve  zoo	vg basisvorm	Wanneer is dit een voorzetsel voor van eynde cum suis?
730	VG(onder,e-vso)	9	als  terwijl  Als  Al  of	vg basisvorm	al loop je op straat, …
740	VG(e-deel-vg)	49	zowel  en  hetzij	vg basisvorm	Zowel-als-enzo
800	TSW()	291	ho  Sorry  hm  Tjonge  o	tsw echt basisvorm	
810	TSW(e-onomatopee)	6	Pfff  peng  ak-ak-ak  zzz  zo	tsw onomatopeeen basisvorm	
990	SPEC(vreemd)	846	for  door  een  verstehen  to	res anderstalig	
991	TSW(e-gewauwel)	3	n  eh  t	res niet-lexicale verbindingselementen	als “n” dan afgebr, anders TSW
992	SPEC(symb,e-math)	31	e  /@@  @  q@r  @@@	res rekenkundige symbolen	
993	SPEC(symb)	20	x  %  =  Ae  moeyden	res overige symbolen	
998	SPEC(comment)	75	's  ambroen  blijkop  h  hk	res niet tot de steekproef behorende elementen	
